source_position,imdb_id,title,year,decision,detail
601,tt20221436,Emilia Pérez,2024,ok,
602,tt1262426,Wicked,2024,ok,
603,tt8999762,The Brutalist,2024,ok,
604,tt11563598,A Complete Unknown,2024,ok,
605,tt20215234,Conclave,2024,ok,
606,tt15239678,Dune: Part Two,2024,ok,
607,tt14961016,I'm Still Here,2024,ok,
608,tt23055660,Nickel Boys,2024,ok,
609,tt17526714,The Substance,2024,ok,
610,tt28607951,Anora,2024,ok,
611,tt12300742,Bugonia,2025,ok,
612,tt16311594,F1: The Movie,2025,ok,
613,tt1312221,Frankenstein,2025,ok,
614,tt14905854,Hamnet,2025,ok,
615,tt32916440,Marty Supreme,2025,ok,
616,tt30144839,One Battle After Another,2025,ok,
617,tt27847051,The Secret Agent,2025,ok,
618,tt27714581,Sentimental Value,2025,ok,
619,tt31193180,Sinners,2025,ok,
620,tt29768334,Train Dreams,2025,ok,
