title,criterion_director,criterion_year,criterion_country,imdb_tconst,imdb_year,imdb_runtime_minutes,match_method,confidence_score,title_similarity,director_similarity,year_similarity,actor_count
"Fight, Zatoichi, Fight",Kenji Misumi,1964,Japan,tt0123334,1964,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Gate of Flesh,Seijun Suzuki,1964,Japan,tt0058409,1964,90,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"Ghidorah, the Three-Headed Monster",Ishiro Honda,1964,Japan,tt0058544,1964,85,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Intentions of Murder,Shohei Imamura,1964,Japan,tt0057829,1964,150,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Ken,Kenji Misumi,1964,,tt0366668,1964,94,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Mothra vs. Godzilla,Ishiro Honda,1964,Japan,tt0058379,1964,89,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Onibaba,Kaneto Shindo,1964,Japan,tt0058430,1964,103,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Pale Flower,Masahiro Shinoda,1964,Japan,tt0056327,1964,96,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Three Outlaw Samurai,Hideo Gosha,1964,Japan,tt0058652,1964,94,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Woman in the Dunes,Hiroshi Teshigahara,1964,Japan,tt0058625,1964,147,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Yearning,Mikio Naruse,1964,Japan,tt0058349,1964,98,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Zatoichi and the Chest of Gold,Kazuo Ikehiro,1964,Japan,tt0130377,1964,83,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Zatoichi’s Flashing Sword,Kazuo Ikehiro,1964,Japan,tt0191664,1964,90,fuzzy_canonical,100.0,1.0,1.0,1.0,10
An Innocent Witch,Heinosuke Gosho,1965,Japan,tt0059554,1965,98,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Frankenstein vs. Baragon,Ishiro Honda,1965,Japan,tt0059205,1965,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Invasion of Astro-Monster,Ishiro Honda,1965,Japan,tt0059346,1965,93,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Ironfinger,Jun Fukuda,1965,Japan,tt0058858,1965,93,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Kenki,Kenji Misumi,1965,,tt0200769,1965,83,fuzzy_canonical,98.1,0.9611,1.0,1.0,10
Kwaidan,Masaki Kobayashi,1965,Japan,tt0058279,1964,183,fuzzy_canonical,92.5,1.0,1.0,0.5,10
Pleasures of the Flesh,Nagisa Oshima,1965,Japan,tt0059159,1965,104,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Red Beard,Akira Kurosawa,1965,Japan,tt0058888,1965,185,fuzzy_canonical,100.0,1.0,1.0,1.0,10
