title,criterion_director,criterion_year,criterion_country,imdb_tconst,imdb_year,imdb_runtime_minutes,match_method,confidence_score,title_similarity,director_similarity,year_similarity,actor_count
Donkey Skin,Jacques Demy,1970,France,tt0066207,1970,91,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",1970,United States,tt0065780,1970,91,fuzzy_canonical,94.9,1.0,0.8531,1.0,10
Long Live the Bride and Groom,Luis García Berlanga,1970,Portugal,tt0066531,1970,83,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Soleil Ô,Med Hondo,1970,France,tt0062285,1970,98,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Garden of Delights,Carlos Saura,1970,Spain,tt0065913,1970,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Four Nights of a Dreamer,Robert Bresson,1971,France,tt0067641,1971,87,fuzzy_canonical,100.0,1.0,1.0,1.0,9
Land of Milk and Honey,Pierre Étaix,1971,France,tt0258013,1971,80,fuzzy_canonical,100.0,1.0,1.0,1.0,4
Murmur of the Heart,Louis Malle,1971,France,tt0067778,1971,118,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Near Orouet,Jacques Rozier,1971,France,tt0070007,1971,150,fuzzy_canonical,100.0,1.0,1.0,1.0,8
Trafic,Jacques Tati,1971,France,tt0069400,1971,96,fuzzy_canonical,100.0,1.0,1.0,1.0,8
Two English Girls,François Truffaut,1971,France,tt0066989,1971,130,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Love in the Afternoon,Eric Rohmer,1972,France,tt0068205,1972,97,fuzzy_canonical,100.0,1.0,1.0,1.0,10
State of Siege,Costa-Gavras,1972,France,tt0070959,1972,120,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Tout va bien,Jean-Luc Godard and Jean-Pierre Gorin,1972,France,tt0069398,1972,95,fuzzy_canonical,95.8,1.0,0.8811,1.0,10
Wedding in White,William Fruet,1972,Canada,tt0069489,1972,103,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Slightly Pregnant Man,Jacques Demy,1973,France,tt0070960,1973,92,fuzzy_canonical,100.0,1.0,1.0,1.0,10
