cluster,imdb_tconst,title,year,imdb_link,color_or_bw
classic_japanese_cinema,tt0054143,One-Way Ticket to Love,1960,https://www.imdb.com/title/tt0054143/,
classic_japanese_cinema,tt0055269,Our Marriage,1961,https://www.imdb.com/title/tt0055269/,
classic_japanese_cinema,tt0094100,Princess from the Moon,1987,https://www.imdb.com/title/tt0094100/,
classic_japanese_cinema,tt0052579,Samurai Saga,1959,https://www.imdb.com/title/tt0052579/,
classic_japanese_cinema,tt0061971,Scattered Clouds,1967,https://www.imdb.com/title/tt0061971/,
classic_japanese_cinema,tt0057632,"Sing, Young People!",1963,https://www.imdb.com/title/tt0057632/,
classic_japanese_cinema,tt0053892,Spring Dreams,1960,https://www.imdb.com/title/tt0053892/,
classic_japanese_cinema,tt0051828,The Eternal Rainbow,1958,https://www.imdb.com/title/tt0051828/,
classic_japanese_cinema,tt0043159,The Good Fairy,1951,https://www.imdb.com/title/tt0043159/,
classic_japanese_cinema,tt0056135,The Inheritance,1962,https://www.imdb.com/title/tt0056135/,
classic_japanese_cinema,tt0203797,The Phantom Horse,1955,https://www.imdb.com/title/tt0203797/,
classic_japanese_cinema,tt0053842,The River Fuefuki,1960,https://www.imdb.com/title/tt0053842/,
classic_japanese_cinema,tt0052966,The Snow Flurry,1959,https://www.imdb.com/title/tt0052966/,
classic_japanese_cinema,tt0054366,The Sun’s Burial,1960,https://www.imdb.com/title/tt0054366/,
classic_japanese_cinema,tt0052981,Thus Another Day,1959,https://www.imdb.com/title/tt0052981/,
japanese_new_wave_genre,tt0056562,A Flame at the Pier,1962,https://www.imdb.com/title/tt0056562/,
japanese_new_wave_genre,tt0131013,A Quiet Life,1995,https://www.imdb.com/title/tt0131013/,
japanese_new_wave_genre,tt0095597,A Taxing Woman's Return,1988,https://www.imdb.com/title/tt0095597/,
japanese_new_wave_genre,tt0164707,Bandits vs. Samurai Squadron,1978,https://www.imdb.com/title/tt0164707/,
japanese_new_wave_genre,tt0781599,Black Sun,1964,https://www.imdb.com/title/tt0781599/,
japanese_new_wave_genre,tt0087571,Children of Nagasaki,1983,https://www.imdb.com/title/tt0087571/,
japanese_new_wave_genre,tt0082313,Eijanaika,1981,https://www.imdb.com/title/tt0082313/,
japanese_new_wave_genre,tt0094858,Father,1988,https://www.imdb.com/title/tt0094858/,
japanese_new_wave_genre,tt0068650,Hanzo the Razor: Sword of Justice,1972,https://www.imdb.com/title/tt0068650/,
japanese_new_wave_genre,tt0174707,Hanzo the Razor: The Snare,1973,https://www.imdb.com/title/tt0174707/,
japanese_new_wave_genre,tt0174708,Hanzo the Razor: Who’s Got the Gold?,1974,https://www.imdb.com/title/tt0174708/,
japanese_new_wave_genre,tt0071609,Himiko,1974,https://www.imdb.com/title/tt0071609/,
japanese_new_wave_genre,tt0079317,Hunter in the Dark,1979,https://www.imdb.com/title/tt0079317/,
japanese_new_wave_genre,tt0360839,I Hate But Love,1962,https://www.imdb.com/title/tt0360839/,
japanese_new_wave_genre,tt0203608,Kaisha monogatari: Memories of You,1988,https://www.imdb.com/title/tt0203608/,
japanese_new_wave_genre,tt0068816,Lone Wolf and Cub: Baby Cart at the River Styx,1972,https://www.imdb.com/title/tt0068816/,
japanese_new_wave_genre,tt0143348,Lone Wolf and Cub: Baby Cart in Peril,1972,https://www.imdb.com/title/tt0143348/,
japanese_new_wave_genre,tt0068817,Lone Wolf and Cub: Baby Cart to Hades,1972,https://www.imdb.com/title/tt0068817/,
japanese_new_wave_genre,tt0071695,Lone Wolf and Cub: White Heaven in Hell,1974,https://www.imdb.com/title/tt0071695/,
japanese_new_wave_genre,tt0308827,Ronin Gai,1990,https://www.imdb.com/title/tt0308827/,
japanese_new_wave_genre,tt0164983,Samaritan Zatoichi,1968,https://www.imdb.com/title/tt0164983/,
japanese_new_wave_genre,tt0059303,Samurai Spy,1965,https://www.imdb.com/title/tt0059303/,
japanese_new_wave_genre,tt0067755,Silence,1971,https://www.imdb.com/title/tt0067755/,
japanese_new_wave_genre,tt0062042,Sing a Song of Sex,1967,https://www.imdb.com/title/tt0062042/,
japanese_new_wave_genre,tt0054325,Take Aim at the Police Van,1960,https://www.imdb.com/title/tt0054325/,
japanese_new_wave_genre,tt0374262,Tamala 2010: A Punk Cat in Space,2002,https://www.imdb.com/title/tt0374262/,
japanese_new_wave_genre,tt0202604,The Castle of Sand,1974,https://www.imdb.com/title/tt0202604/,
japanese_new_wave_genre,tt0202434,The Demon,1978,https://www.imdb.com/title/tt0202434/,
japanese_new_wave_genre,tt0106651,The Last Dance,1993,https://www.imdb.com/title/tt0106651/,
japanese_new_wave_genre,tt1935157,The Perfect Game,1958,https://www.imdb.com/title/tt1935157/,
japanese_new_wave_genre,tt0070528,The Petrified Forest,1973,https://www.imdb.com/title/tt0070528/,
japanese_new_wave_genre,tt0203605,The Shadow Within,1970,https://www.imdb.com/title/tt0203605/,
japanese_new_wave_genre,tt0063169,Three Resurrected Drunkards,1968,https://www.imdb.com/title/tt0063169/,
japanese_new_wave_genre,tt0155278,Tokaido Yotsuya kaidan,1959,https://www.imdb.com/title/tt0155278/,
japanese_new_wave_genre,tt0204716,Tracked,1985,https://www.imdb.com/title/tt0204716/,
japanese_new_wave_genre,tt0073841,Under the Blossoming Cherry Trees,1975,https://www.imdb.com/title/tt0073841/,
japanese_new_wave_genre,tt0133089,Woman in Witness Protection,1997,https://www.imdb.com/title/tt0133089/,
japanese_new_wave_genre,tt0057697,Youth of the Beast,1963,https://www.imdb.com/title/tt0057697/,
japanese_new_wave_genre,tt0066603,Zatoichi Meets Yojimbo,1970,https://www.imdb.com/title/tt0066603/,
japanese_new_wave_genre,tt0057715,Zatoichi the Fugitive,1963,https://www.imdb.com/title/tt0057715/,
japanese_new_wave_genre,tt0072439,Zatoichi’s Conspiracy,1973,https://www.imdb.com/title/tt0072439/,
hong_kong_taiwan_cinema,tt0109685,A Confucian Confusion,1994,https://www.imdb.com/title/tt0109685/,
hong_kong_taiwan_cinema,tt29271889,Daughter’s Daughter,2024,https://www.imdb.com/title/tt29271889/,
hong_kong_taiwan_cinema,tt0083352,Dreadnaught,1981,https://www.imdb.com/title/tt0083352/,
hong_kong_taiwan_cinema,tt0080827,Encounters of the Spooky Kind,1980,https://www.imdb.com/title/tt0080827/,
hong_kong_taiwan_cinema,tt0092252,Evil Cat,1987,https://www.imdb.com/title/tt0092252/,
hong_kong_taiwan_cinema,tt0099000,Farewell China,1990,https://www.imdb.com/title/tt0099000/,
hong_kong_taiwan_cinema,tt0080623,Half a Loaf of Kung Fu,1978,https://www.imdb.com/title/tt0080623/,
hong_kong_taiwan_cinema,tt0092264,Heroes Shed No Tears,1984,https://www.imdb.com/title/tt0092264/,
hong_kong_taiwan_cinema,tt0077655,Last Hurrah for Chivalry,1979,https://www.imdb.com/title/tt0077655/,
hong_kong_taiwan_cinema,tt8185182,Long Day’s Journey Into Night,2018,https://www.imdb.com/title/tt8185182/,
hong_kong_taiwan_cinema,tt0116962,Mahjong,1996,https://www.imdb.com/title/tt0116962/,
hong_kong_taiwan_cinema,tt0093422,Mr. Vampire III,1987,https://www.imdb.com/title/tt0093422/,
hong_kong_taiwan_cinema,tt0099881,Mr. Vampire IV,1988,https://www.imdb.com/title/tt0099881/,
hong_kong_taiwan_cinema,tt0093944,My Heart Is That Eternal Rose,1989,https://www.imdb.com/title/tt0093944/,
hong_kong_taiwan_cinema,tt0084248,Nomad,1982,https://www.imdb.com/title/tt0084248/,
scandinavian_bergman_circle,tt0062916,Duet for Cannibals,1969,https://www.imdb.com/title/tt0062916/,
czech_new_wave,tt0122371,Adelheid,1970,https://www.imdb.com/title/tt0122371/,
czech_new_wave,tt0054780,The Devil’s Trap,1962,https://www.imdb.com/title/tt0054780/,
czech_new_wave,tt0175743,The White Dove,1960,https://www.imdb.com/title/tt0175743/,
soviet_cinema,tt0059884,"War and Peace, Part I: Andrei Bolkonsky",1966,https://www.imdb.com/title/tt0059884/,
soviet_cinema,tt0061162,"War and Peace, Part II: Natasha Rostova",1966,https://www.imdb.com/title/tt0061162/,
soviet_cinema,tt0062455,"War and Peace, Part III: The Year 1812",1967,https://www.imdb.com/title/tt0062455/,
soviet_cinema,tt0062456,"War and Peace, Part IV: Pierre Bezukhov",1967,https://www.imdb.com/title/tt0062456/,
satyajit_ray_indian,tt0109843,Fresh Kill,1994,https://www.imdb.com/title/tt0109843/,
