actor_nconst,actor_name
nm0779966,Sheila Scott Wilkinson
nm0780091,Giovanni Ivan Scratuglia
nm0780688,Bernie Searle
nm0783181,Hesham Selim
nm0785583,María del Mar Serrano
nm0785664,Michel Serrault
nm0786313,Séverin-Mars
nm0790096,Farid Shawqi
nm0790452,Moira Shearer
nm0791570,Ben Shenkman
nm0793337,Benkei Shiganoya
nm0793420,Shahar Shikartzi
nm0797382,Rocco Siffredi
nm10588371,Ída Mekkín Hlynsdóttir
nm10599109,Ramiro Cavazos
nm10599118,Andrés Berlanga
nm1061340,Scott Sackett
nm11572578,Chris Smalls
nm1159294,Kô Ishida
nm1163128,Kazuyo Asari
nm13362478,Renzo Alvera
nm13400423,Polina Astakhova
nm13422041,David Darkick
nm13424140,Dana Lee
nm14552716,Eva H.D.
nm14554560,Tomislav Franjkovic
nm1455536,Rita Piccione
nm16156230,Sausha De La Ossa
nm1773241,Lisa Sodman Elzinga
nm1778612,Alastair Love
nm1782502,Michael Ray Davis
nm2888839,Matt Turney
nm2895729,Horton Barker
nm2901650,Henrik Vikman
nm2925540,Kenny Merritt
nm2928195,John Rier
nm2963760,Russell M. Haeuser
nm2974014,Václav Zák
nm4104621,Silberio Galvez
nm4113590,Dorothy Stengel
nm4209331,Dora Diana
nm6402365,Mark Blane
nm6407986,Marcel Lucien
nm7937991,Morris Ardoin
nm7945600,Billy Harper
nm0259841,Eileen Erskine
nm0260171,Arantxa Escamilla
nm0262725,Edith Evans
nm0264146,Brown Eyes
nm0265091,Huguette Faget
nm0265168,Patcheen Faherty
nm0265229,Torbjörn Fahlström
nm0266366,Joseph Falletta
nm0267130,Buzz Farber
nm0268331,Sharon Farrell
nm0270073,Frédérique Feder
nm0270540,Stefan Feierbach
nm0278625,Jane Fire
nm0280178,Barry Fitzgerald
nm0280242,Geraldine Fitzgerald
nm0280506,Colleen Fitzpatrick
nm0282055,Kent Fletcher
nm0282251,Judith Flex
nm0282653,Florelle
nm0283029,Giovani Florido
nm0283532,Larry Flynn
nm0284613,Yeh Fang
nm0284858,Robert Fontaine
nm0286692,Sally Forrest
nm0288990,Frank Fox
nm0289098,Kerry Fox
nm0291821,Arthur Franz
nm0296365,Max Fromm
nm0297167,Yuriko Fuchizaki
nm0297799,Jerry Fujio
nm0297800,Hiroshi Fujioka
nm0297869,Kamatari Fujiwara
nm0298698,William Fung
nm0299140,Nelly Furtado
nm0300350,Yves Gabrielli
nm0301726,Vera Galatíková
nm0301928,Wesley Gale
nm0303334,Vilen Galstyan
nm0307397,Antonio Garibaldi
nm0308523,Riccardo Garrone
nm0309815,Alfonso Gatto
nm0310537,Jack Gavin
nm0313280,Odile Geoffroy
nm0318171,Mercedes Gilbert
nm0318568,Marie Gili-Pierre
nm0318888,Maurice Gilles
nm0319184,Max Gillies
nm0322706,Peter Glenville
nm0322895,Wienczyslaw Glinski
nm0323098,Bruce Glover
nm0326951,Rosa-Maria Gomes
nm0329467,Harold Goodwin
nm0330156,Dorothy Gordon
nm0332950,Ashutosh Gowariker
nm0333327,Carol Grace
nm0334931,Hervé Grandsart
nm0336128,James Grauerholtz
nm0336455,Arnold Gray
nm0338126,Marika Green
nm0338493,Clement Greenberg
nm0340063,Robert Greig
nm0342428,Jack Grindle
nm0344734,Karolina Gruszka
nm0344798,Halina Gryglaszewska
nm0344930,Jacques Grétillat
nm0346533,Cary Guffey
nm0346944,Willor Lee Guilford
nm0347827,Dorothy Gulliver
nm0347858,David Gulpilil
nm0349899,Deryck Guyler
nm0350196,Georges Géret
nm0350764,René Génin
nm0350789,Claire Gérard
nm0350797,Henriette Gérard
nm0354914,Georgina Hale
nm0355334,Ben Hall
nm0355621,Grayson Hall
nm0366503,Roderick Hart
nm0369918,Alex Haw
nm0376265,Jan Hencz
nm0376681,Oscar 'Dutch' Hendrian
nm0377226,Laurent Hennequin
nm0378705,Jo Herbst
nm0380831,Jeanne Herry
nm0383765,Georges Hilarion
nm0386821,Nicole Hiss
nm0387231,Mako Hlubi
nm0387753,Valerie Hobson
nm0388958,Joan Hoffman
nm0389901,Ronald F. Hoiseck
nm10225747,Arthur Peng
nm1022823,Scott Ian
nm11670147,Eva Rioselo
nm11837348,Giorgi Makashvili
nm11867219,Mame Dia
nm11952928,Yussie Jupiter
nm1307120,Zi Ying
nm14886110,Goudarzi
nm14911876,Faezeh Rad
nm2087748,Esther-Marie Wiig
nm2128019,Bob Rosen
nm2128131,Manuel Talaverano
nm3079991,Mateusz Kosciukiewicz
nm3092081,Keyali Mayaga
nm3107985,Aaron Glickman
nm3114067,Angelo
nm3117618,Toyoharu Kitamura
nm4238608,Kilala Inori
nm4329847,Ali Weinstein
nm5025010,Laura Kenny
nm5069416,Chung-You Chang
nm5077326,William Rydell
nm6249945,Marie Lucas
nm6261877,Deborah Gzesh
nm6272482,Joseph Barglowski
nm8658823,Eugenie Liu
nm0130952,José Calvo
nm0130955,Juan Calvo
nm0132444,Eric Campbell
nm0133836,Séverine Caneele
nm0136254,Laetitia Carcano
nm0136983,Joyce Carey
nm0137324,Lars-Owe Carlberg
nm0141123,Raffaella Carrà
nm0141202,Charles Carson
nm0141697,Jim Carter
nm0143018,María Casares
nm0145680,Raúl Castro
nm0147533,Fernando Cebrián
nm0148294,Antonio Centa
nm0150543,Lolita Chammah
nm0150619,Lyne Champagne
nm0150987,Kwok-Pong Chan
nm0151666,Ching Po Chang
nm0152750,Odette Roger
nm0154162,Siddhartha Chatterjee
nm0154968,Rogheyeh Chehreh-Azad
nm0155312,Lu Chen
nm0155371,Shu-Fang Chen
nm0155618,Sammi Cheng
nm0156039,Virginia Cherrill
nm0156430,Maggie Ho-yee Cheung
nm0156558,Roy Cheung
nm0156618,Bliss Chevalier
nm0157242,Florinda Chico
nm0158830,Choi Ji-woo
nm0159725,Benjamin Christensen
nm0160823,Emily Chu
nm0161164,William Chun
nm0161398,Tony Church
nm0164379,Petula Clark
nm0164693,Cheryl Clarke
nm0166170,Steve Clemente
nm0167782,Joe Cobb
nm0170344,Anita Colby
nm0171887,Constance Collier
nm0174934,Shane Connaughton
nm0175815,Frank Conroy
nm0176061,Eddie Constantine
nm0177933,Chris Cooper
nm0178066,Gladys Cooper
nm0179662,Terenzio Cordova
nm0183739,Henry Courseaux
nm0186569,Dani
nm0187668,Michel Creuze
nm0188646,Mark Crompton
nm0190211,Olivier Cruveiller
nm0193459,Mickey Curtis
nm0197611,Amy Dalby
nm0200195,Lisa Daniely
nm0202692,Matthieu Davette
nm0203042,Queer David
nm0207219,Brenda de Banzie
nm0209420,Raf De La Torre
nm0209596,Carmen De Lavallade
nm0209637,Lia Di Leo
nm0210218,Maria de Medeiros
nm0210999,Dorothy De Poliolo
nm0211012,Marqués De Portago
nm0211930,Los Alegres De Teran
nm0212542,Gita Dey
nm0216169,Florian Delain
nm0216596,Marcel Delaître
nm0218843,Mathieu Demy
nm0221107,Georges Descrières
nm0222013,Daiva Deupree
nm0222752,Alan Devlin
nm0224735,Valda Diamond
nm0225789,Evelyne Didi
nm0226191,Samuel Dietert
nm0226502,Dudley Digges
nm0227528,Monette Dinay
nm0228026,Mame Ndoumbé Diop
nm0229415,Mariusz Dmochowski
nm0229489,Maurício do Valle
nm0229943,Vernon Dobtcheff
nm0232240,Nicole Donati
nm0232493,Dongdong Jiang
nm0232571,James Donlan
nm0234312,Cosme dos Santos
nm0235991,Elsie Downey
nm0237066,L.C. Drane
nm0237612,Philippe Dreux
nm0238379,Jean-Claude Drouot
nm0241164,Duke of Windsor
nm0243109,Cheryl Dunye
